sol_id,sol
1015,அழ
1016,அழா
1017,அழி
1018,அழீ
1019,அழு
1020,அழூ
1021,அழே
1022,அழை
1023,அழோ
1024,அழ்
1025,அழ்ங
1026,அழ்ஙா
1027,அழ்ஙி
1028,அழ்ஙீ
1029,அழ்ஙு
1030,அழ்ஙூ
1031,அழ்ஙே
1032,அழ்ஙை
1033,அழ்ஙோ
1034,அவ
1035,அவா
1036,அவி
1037,அவீ
1038,அவு
1039,அவூ
1040,அவே
1041,அவை
1042,அவோ
1043,அவௌ
1044,அவ்
1045,அவ்ய
1046,அவ்யா
1047,அவ்யி
1048,அவ்யீ
1049,அவ்யு
1050,அவ்யூ
1051,அவ்யே
1052,அவ்யை
1053,அவ்யோ
1054,அவ்ய்
1055,அவ்வ
1056,அவ்வா
1057,அவ்வி
1058,அவ்வீ
1059,அவ்வு
1060,அவ்வூ
1061,அவ்வெ
1062,அவ்வே
1063,அவ்வை
1064,அவ்வொ
1065,அவ்வோ
1066,அவ்வௌ
1067,ஆ
1068,ஆஅ
1069,ஆஆ
1070,ஆஇ
1071,ஆஈ
1072,ஆஉ
1073,ஆஊ
1074,ஆஎ
1075,ஆஏ
1076,ஆஐ
1077,ஆஒ
1078,ஆஓ
1079,ஆஔ
1080,ஆக
1081,ஆகா
1082,ஆகி
1083,ஆகீ
1084,ஆகு
1085,ஆகூ
1086,ஆகே
1087,ஆகை
1088,ஆகோ
1089,ஆகௌ
1090,ஆக்க
1091,ஆக்கா
1092,ஆக்கி
1093,ஆக்கீ
1094,ஆக்கு
1095,ஆக்கூ
1096,ஆக்கெ
1097,ஆக்கே
1098,ஆக்கை
1099,ஆக்கொ
1100,ஆக்கோ
1101,ஆக்கௌ
1102,ஆங
1103,ஆஙா
1104,ஆஙி
1105,ஆஙீ
1106,ஆஙு
1107,ஆஙூ
1108,ஆஙே
1109,ஆஙை
1110,ஆஙோ
1111,ஆங்க
1112,ஆங்கா
1113,ஆங்கி
1114,ஆங்கீ
1115,ஆங்கு
1116,ஆங்கூ
1117,ஆங்கே
1118,ஆங்கை
1119,ஆங்கோ
1120,ஆங்கௌ
1121,ஆங்ங
1122,ஆங்ஙா
1123,ஆங்ஙி
1124,ஆங்ஙீ
1125,ஆங்ஙு
1126,ஆங்ஙூ
1127,ஆங்ஙெ
1128,ஆங்ஙே
1129,ஆங்ஙை
1130,ஆங்ஙொ
1131,ஆங்ஙோ
1132,ஆங்ஙௌ
1133,ஆங்ய
1134,ஆங்யா
1135,ஆங்யி
1136,ஆங்யீ
1137,ஆங்யு
1138,ஆங்யூ
1139,ஆங்யே
1140,ஆங்யை
1141,ஆங்யோ
1142,ஆங்ய்
1143,ஆச
1144,ஆசா
1145,ஆசி
1146,ஆசீ
1147,ஆசு
1148,ஆசூ
1149,ஆசே
1150,ஆசை
1151,ஆசோ
1152,ஆச்ச
1153,ஆச்சா
1154,ஆச்சி
1155,ஆச்சீ
1156,ஆச்சு
1157,ஆச்சூ
1158,ஆச்செ
1159,ஆச்சே
1160,ஆச்சை
1161,ஆச்சொ
1162,ஆச்சோ
1163,ஆச்சௌ
1164,ஆஞ
1165,ஆஞா
1166,ஆஞி
1167,ஆஞீ
1168,ஆஞு
1169,ஆஞூ
1170,ஆஞே
1171,ஆஞை
1172,ஆஞோ
1173,ஆஞ்
1174,ஆஞ்ச
1175,ஆஞ்சா
1176,ஆஞ்சி
1177,ஆஞ்சீ
1178,ஆஞ்சு
1179,ஆஞ்சூ
1180,ஆஞ்சே
1181,ஆஞ்சை
1182,ஆஞ்சோ
1183,ஆஞ்ஞ
1184,ஆஞ்ஞா
1185,ஆஞ்ஞி
1186,ஆஞ்ஞீ
